"Notes","Race","Race Code","State","State Code","Year","Year Code","ICD-10 113 Cause List","ICD-10 113 Cause List Code",Deaths,Population,Crude Rate
,"Asian or Pacific Islander","A-PI","Hawaii","15","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,870882,Unreliable
,"Asian or Pacific Islander","A-PI","Hawaii","15","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,870882,Unreliable
,"Asian or Pacific Islander","A-PI","New York","36","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,1398778,Unreliable
,"Asian or Pacific Islander","A-PI","New York","36","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,1398778,Unreliable
,"Asian or Pacific Islander","A-PI","Texas","48","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1721732,Unreliable
,"Asian or Pacific Islander","A-PI","Texas","48","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,1721732,Unreliable
,"Black or African American","2054-5","Alabama","01","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1329648,Unreliable
,"Black or African American","2054-5","Alabama","01","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1329648,Unreliable
,"Black or African American","2054-5","Alabama","01","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,1335240,1.9
,"Black or African American","2054-5","Alabama","01","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,1335240,1.9
,"Black or African American","2054-5","Alabama","01","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1338846,Unreliable
,"Black or African American","2054-5","Alabama","01","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1338846,Unreliable
,"Black or African American","2054-5","Alabama","01","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1342306,Unreliable
,"Black or African American","2054-5","Alabama","01","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1342306,Unreliable
,"Black or African American","2054-5","Alabama","01","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,1350111,1.6
,"Black or African American","2054-5","Alabama","01","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,1350111,1.6
,"Black or African American","2054-5","Arkansas","05","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,494526,Unreliable
,"Black or African American","2054-5","Arkansas","05","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,494526,Unreliable
,"Black or African American","2054-5","California","06","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2516935,Unreliable
,"Black or African American","2054-5","California","06","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,2585567,Unreliable
,"Black or African American","2054-5","California","06","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2585567,Unreliable
,"Black or African American","2054-5","California","06","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",27,2603152,1.0
,"Black or African American","2054-5","California","06","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,2603152,1.0
,"Black or African American","2054-5","California","06","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,2615407,0.9
,"Black or African American","2054-5","California","06","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",23,2615407,0.9
,"Black or African American","2054-5","California","06","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,2626937,Unreliable
,"Black or African American","2054-5","California","06","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,2626937,Unreliable
,"Black or African American","2054-5","California","06","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,2639369,0.8
,"Black or African American","2054-5","California","06","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2639369,0.8
,"Black or African American","2054-5","California","06","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,2662354,Unreliable
,"Black or African American","2054-5","California","06","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,2662354,Unreliable
,"Black or African American","2054-5","California","06","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,2691724,Unreliable
,"Black or African American","2054-5","California","06","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,2691724,Unreliable
,"Black or African American","2054-5","California","06","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,2718779,Unreliable
,"Black or African American","2054-5","California","06","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,2718779,Unreliable
,"Black or African American","2054-5","California","06","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,2749509,Unreliable
,"Black or African American","2054-5","California","06","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,2749509,Unreliable
,"Black or African American","2054-5","California","06","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,2767389,Unreliable
,"Black or African American","2054-5","California","06","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,2767389,Unreliable
,"Black or African American","2054-5","California","06","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,2778851,Unreliable
,"Black or African American","2054-5","California","06","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,2778851,Unreliable
,"Black or African American","2054-5","California","06","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,2808562,0.7
,"Black or African American","2054-5","California","06","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,2808562,0.7
,"Black or African American","2054-5","California","06","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,2827821,Unreliable
,"Black or African American","2054-5","California","06","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,2827821,Unreliable
,"Black or African American","2054-5","California","06","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2829264,Unreliable
,"Black or African American","2054-5","California","06","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,2829264,Unreliable
,"Black or African American","2054-5","California","06","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,2841787,Unreliable
,"Black or African American","2054-5","California","06","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,2841787,Unreliable
,"Black or African American","2054-5","California","06","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,2851095,Unreliable
,"Black or African American","2054-5","California","06","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,2851095,Unreliable
,"Black or African American","2054-5","California","06","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2853140,Unreliable
,"Black or African American","2054-5","California","06","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2853140,Unreliable
,"Black or African American","2054-5","California","06","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,2871450,Unreliable
,"Black or African American","2054-5","California","06","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,2871450,Unreliable
,"Black or African American","2054-5","Florida","12","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,2419083,Unreliable
,"Black or African American","2054-5","Florida","12","1999","1999","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,2419083,Unreliable
,"Black or African American","2054-5","Florida","12","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2468478,Unreliable
,"Black or African American","2054-5","Florida","12","2000","2000","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,2468478,Unreliable
,"Black or African American","2054-5","Florida","12","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2553214,Unreliable
,"Black or African American","2054-5","Florida","12","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,2627531,Unreliable
,"Black or African American","2054-5","Florida","12","2002","2002","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,2627531,Unreliable
,"Black or African American","2054-5","Florida","12","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,2700143,Unreliable
,"Black or African American","2054-5","Florida","12","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,2700143,Unreliable
,"Black or African American","2054-5","Florida","12","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,2786446,0.7
,"Black or African American","2054-5","Florida","12","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,2786446,Unreliable
,"Black or African American","2054-5","Florida","12","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,2881786,0.7
,"Black or African American","2054-5","Florida","12","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2881786,0.7
,"Black or African American","2054-5","Florida","12","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,2969250,0.8
,"Black or African American","2054-5","Florida","12","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,2969250,0.7
,"Black or African American","2054-5","Florida","12","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,3029024,0.8
,"Black or African American","2054-5","Florida","12","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,3029024,0.7
,"Black or African American","2054-5","Florida","12","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,3086395,Unreliable
,"Black or African American","2054-5","Florida","12","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,3086395,Unreliable
,"Black or African American","2054-5","Florida","12","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,3133488,0.8
,"Black or African American","2054-5","Florida","12","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,3133488,0.7
,"Black or African American","2054-5","Florida","12","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,3172720,0.6
,"Black or African American","2054-5","Florida","12","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,3172720,Unreliable
,"Black or African American","2054-5","Florida","12","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,3242646,0.8
,"Black or African American","2054-5","Florida","12","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,3242646,0.6
,"Black or African American","2054-5","Florida","12","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",31,3311596,0.9
,"Black or African American","2054-5","Florida","12","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,3311596,0.9
,"Black or African American","2054-5","Florida","12","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",27,3371252,0.8
,"Black or African American","2054-5","Florida","12","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,3371252,0.7
,"Black or African American","2054-5","Florida","12","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,3451906,0.7
,"Black or African American","2054-5","Florida","12","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",23,3451906,0.7
,"Black or African American","2054-5","Florida","12","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,3528984,0.7
,"Black or African American","2054-5","Florida","12","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",24,3528984,0.7
,"Black or African American","2054-5","Florida","12","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,3597739,Unreliable
,"Black or African American","2054-5","Florida","12","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,3597739,Unreliable
,"Black or African American","2054-5","Florida","12","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,3678445,0.6
,"Black or African American","2054-5","Florida","12","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,3678445,Unreliable
,"Black or African American","2054-5","Florida","12","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,3736443,Unreliable
,"Black or African American","2054-5","Florida","12","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,3736443,Unreliable
,"Black or African American","2054-5","Florida","12","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,3774446,0.8
,"Black or African American","2054-5","Florida","12","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,3774446,0.8
,"Black or African American","2054-5","Florida","12","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",32,3840185,0.8
,"Black or African American","2054-5","Florida","12","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",32,3840185,0.8
,"Black or African American","2054-5","Georgia","13","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,2343624,Unreliable
,"Black or African American","2054-5","Georgia","13","1999","1999","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,2343624,Unreliable
,"Black or African American","2054-5","Georgia","13","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2395234,Unreliable
,"Black or African American","2054-5","Georgia","13","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",26,2468186,1.1
,"Black or African American","2054-5","Georgia","13","2001","2001","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,2468186,1.1
,"Black or African American","2054-5","Georgia","13","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,2522522,Unreliable
,"Black or African American","2054-5","Georgia","13","2002","2002","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,2522522,Unreliable
,"Black or African American","2054-5","Georgia","13","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,2571491,0.8
,"Black or African American","2054-5","Georgia","13","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,2571491,Unreliable
,"Black or African American","2054-5","Georgia","13","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,2635336,Unreliable
,"Black or African American","2054-5","Georgia","13","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,2635336,Unreliable
,"Black or African American","2054-5","Georgia","13","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,2702396,0.9
,"Black or African American","2054-5","Georgia","13","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,2702396,0.8
,"Black or African American","2054-5","Georgia","13","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,2805927,Unreliable
,"Black or African American","2054-5","Georgia","13","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,2805927,Unreliable
,"Black or African American","2054-5","Georgia","13","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,2891925,Unreliable
,"Black or African American","2054-5","Georgia","13","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,2962628,Unreliable
,"Black or African American","2054-5","Georgia","13","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,2962628,Unreliable
,"Black or African American","2054-5","Georgia","13","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",26,3023009,0.9
,"Black or African American","2054-5","Georgia","13","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",24,3023009,0.8
,"Black or African American","2054-5","Georgia","13","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,3057817,0.8
,"Black or African American","2054-5","Georgia","13","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,3057817,0.7
,"Black or African American","2054-5","Georgia","13","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,3113361,0.9
,"Black or African American","2054-5","Georgia","13","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,3113361,0.9
,"Black or African American","2054-5","Georgia","13","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,3163293,0.8
,"Black or African American","2054-5","Georgia","13","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",24,3163293,0.8
,"Black or African American","2054-5","Georgia","13","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",38,3206522,1.2
,"Black or African American","2054-5","Georgia","13","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",35,3206522,1.1
,"Black or African American","2054-5","Georgia","13","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",47,3260440,1.4
,"Black or African American","2054-5","Georgia","13","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",47,3260440,1.4
,"Black or African American","2054-5","Georgia","13","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",48,3320419,1.4
,"Black or African American","2054-5","Georgia","13","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",48,3320419,1.4
,"Black or African American","2054-5","Georgia","13","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",41,3384642,1.2
,"Black or African American","2054-5","Georgia","13","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",39,3384642,1.2
,"Black or African American","2054-5","Georgia","13","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",44,3447386,1.3
,"Black or African American","2054-5","Georgia","13","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",44,3447386,1.3
,"Black or African American","2054-5","Georgia","13","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",35,3499496,1.0
,"Black or African American","2054-5","Georgia","13","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",33,3499496,0.9
,"Black or African American","2054-5","Georgia","13","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",44,3549778,1.2
,"Black or African American","2054-5","Georgia","13","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",44,3549778,1.2
,"Black or African American","2054-5","Georgia","13","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,3606257,0.8
,"Black or African American","2054-5","Georgia","13","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,3606257,0.8
,"Black or African American","2054-5","Illinois","17","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1940249,Unreliable
,"Black or African American","2054-5","Illinois","17","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1944473,Unreliable
,"Black or African American","2054-5","Illinois","17","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1947836,Unreliable
,"Black or African American","2054-5","Illinois","17","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1947836,Unreliable
,"Black or African American","2054-5","Illinois","17","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1951157,Unreliable
,"Black or African American","2054-5","Illinois","17","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1951157,Unreliable
,"Black or African American","2054-5","Illinois","17","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1955231,Unreliable
,"Black or African American","2054-5","Illinois","17","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1955231,Unreliable
,"Black or African American","2054-5","Illinois","17","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,1960826,Unreliable
,"Black or African American","2054-5","Illinois","17","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,1960826,Unreliable
,"Black or African American","2054-5","Illinois","17","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1971805,Unreliable
,"Black or African American","2054-5","Illinois","17","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1971805,Unreliable
,"Black or African American","2054-5","Illinois","17","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1968408,Unreliable
,"Black or African American","2054-5","Illinois","17","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1968408,Unreliable
,"Black or African American","2054-5","Illinois","17","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1964390,Unreliable
,"Black or African American","2054-5","Illinois","17","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1964390,Unreliable
,"Black or African American","2054-5","Illinois","17","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,1962578,Unreliable
,"Black or African American","2054-5","Illinois","17","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,1962578,Unreliable
,"Black or African American","2054-5","Illinois","17","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1953836,Unreliable
,"Black or African American","2054-5","Illinois","17","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1953836,Unreliable
,"Black or African American","2054-5","Illinois","17","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1950271,Unreliable
,"Black or African American","2054-5","Illinois","17","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1950271,Unreliable
,"Black or African American","2054-5","Illinois","17","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1937515,Unreliable
,"Black or African American","2054-5","Illinois","17","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1937515,Unreliable
,"Black or African American","2054-5","Louisiana","22","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1509822,Unreliable
,"Black or African American","2054-5","Louisiana","22","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1509822,Unreliable
,"Black or African American","2054-5","Louisiana","22","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1521031,Unreliable
,"Black or African American","2054-5","Louisiana","22","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,1521031,Unreliable
,"Black or African American","2054-5","Louisiana","22","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,1516716,Unreliable
,"Black or African American","2054-5","Louisiana","22","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,1516716,Unreliable
,"Black or African American","2054-5","Louisiana","22","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,1526736,1.8
,"Black or African American","2054-5","Louisiana","22","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,1526736,1.8
,"Black or African American","2054-5","Louisiana","22","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",27,1538168,1.8
,"Black or African American","2054-5","Louisiana","22","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,1538168,1.8
,"Black or African American","2054-5","Louisiana","22","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,1546176,1.5
,"Black or African American","2054-5","Louisiana","22","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",23,1546176,1.5
,"Black or African American","2054-5","Louisiana","22","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",35,1554167,2.3
