race,race_code,state,state_code,year,year_code,icd10_113_cause_list,icd10_113_cause_list_code,deaths,population,crude_rate
Asian or Pacific Islander,A-PI,California,6.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,6362798.0,
Asian or Pacific Islander,A-PI,California,6.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,6626166.0,
Asian or Pacific Islander,A-PI,California,6.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,6626166.0,
Asian or Pacific Islander,A-PI,California,6.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,6678634.0,
Asian or Pacific Islander,A-PI,California,6.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,6678634.0,
Asian or Pacific Islander,A-PI,Hawaii,15.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,870882.0,
Asian or Pacific Islander,A-PI,Hawaii,15.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,870882.0,
Asian or Pacific Islander,A-PI,New York,36.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1398778.0,
Asian or Pacific Islander,A-PI,New York,36.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1398778.0,
Asian or Pacific Islander,A-PI,Texas,48.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1721732.0,
Asian or Pacific Islander,A-PI,Texas,48.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,1721732.0,
Black or African American,2054-5,Alabama,1.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1329648.0,
Black or African American,2054-5,Alabama,1.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1329648.0,
Black or African American,2054-5,Alabama,1.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,25.0,1335240.0,1.9
Black or African American,2054-5,Alabama,1.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,25.0,1335240.0,1.9
Black or African American,2054-5,Alabama,1.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1338846.0,
Black or African American,2054-5,Alabama,1.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1338846.0,
Black or African American,2054-5,Alabama,1.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1342306.0,
Black or African American,2054-5,Alabama,1.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1342306.0,
Black or African American,2054-5,Alabama,1.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,1350111.0,1.6
Black or African American,2054-5,Alabama,1.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,21.0,1350111.0,1.6
Black or African American,2054-5,Arkansas,5.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,494526.0,
Black or African American,2054-5,Arkansas,5.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,494526.0,
Black or African American,2054-5,California,6.0,2000,2000.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,2516935.0,
Black or African American,2054-5,California,6.0,2003,2003.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,2585567.0,
Black or African American,2054-5,California,6.0,2003,2003.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,2585567.0,
Black or African American,2054-5,California,6.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,27.0,2603152.0,1.0
Black or African American,2054-5,California,6.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,25.0,2603152.0,1.0
Black or African American,2054-5,California,6.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,2615407.0,0.9
Black or African American,2054-5,California,6.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,23.0,2615407.0,0.9
Black or African American,2054-5,California,6.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,19.0,2626937.0,
Black or African American,2054-5,California,6.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,17.0,2626937.0,
Black or African American,2054-5,California,6.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,2639369.0,0.8
Black or African American,2054-5,California,6.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,2639369.0,0.8
Black or African American,2054-5,California,6.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,2662354.0,
Black or African American,2054-5,California,6.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,2662354.0,
Black or African American,2054-5,California,6.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,17.0,2691724.0,
Black or African American,2054-5,California,6.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,2691724.0,
Black or African American,2054-5,California,6.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,2718779.0,
Black or African American,2054-5,California,6.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,2718779.0,
Black or African American,2054-5,California,6.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,17.0,2749509.0,
Black or African American,2054-5,California,6.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,2749509.0,
Black or African American,2054-5,California,6.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,2767389.0,
Black or African American,2054-5,California,6.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,2767389.0,
Black or African American,2054-5,California,6.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,19.0,2778851.0,
Black or African American,2054-5,California,6.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,19.0,2778851.0,
Black or African American,2054-5,California,6.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,2808562.0,0.7
Black or African American,2054-5,California,6.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,21.0,2808562.0,0.7
Black or African American,2054-5,California,6.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,18.0,2827821.0,
Black or African American,2054-5,California,6.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,2827821.0,
Black or African American,2054-5,California,6.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,2829264.0,
Black or African American,2054-5,California,6.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,2829264.0,
Black or African American,2054-5,California,6.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,19.0,2841787.0,
Black or African American,2054-5,California,6.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,2841787.0,
Black or African American,2054-5,California,6.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,2851095.0,
Black or African American,2054-5,California,6.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,2851095.0,
Black or African American,2054-5,California,6.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,2853140.0,
Black or African American,2054-5,California,6.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,2853140.0,
Black or African American,2054-5,California,6.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,2871450.0,
Black or African American,2054-5,California,6.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,2871450.0,
Black or African American,2054-5,Florida,12.0,1999,1999.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,2419083.0,
Black or African American,2054-5,Florida,12.0,1999,1999.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,2419083.0,
Black or African American,2054-5,Florida,12.0,2000,2000.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,2468478.0,
Black or African American,2054-5,Florida,12.0,2000,2000.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,2468478.0,
Black or African American,2054-5,Florida,12.0,2001,2001.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,2553214.0,
Black or African American,2054-5,Florida,12.0,2002,2002.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,2627531.0,
Black or African American,2054-5,Florida,12.0,2002,2002.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,2627531.0,
Black or African American,2054-5,Florida,12.0,2003,2003.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,2700143.0,
Black or African American,2054-5,Florida,12.0,2003,2003.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,2700143.0,
Black or African American,2054-5,Florida,12.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,2786446.0,0.7
Black or African American,2054-5,Florida,12.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,2786446.0,
Black or African American,2054-5,Florida,12.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,2881786.0,0.7
Black or African American,2054-5,Florida,12.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,2881786.0,0.7
Black or African American,2054-5,Florida,12.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,2969250.0,0.8
Black or African American,2054-5,Florida,12.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,22.0,2969250.0,0.7
Black or African American,2054-5,Florida,12.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,23.0,3029024.0,0.8
Black or African American,2054-5,Florida,12.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,3029024.0,0.7
Black or African American,2054-5,Florida,12.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,18.0,3086395.0,
Black or African American,2054-5,Florida,12.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,3086395.0,
Black or African American,2054-5,Florida,12.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,3133488.0,0.8
Black or African American,2054-5,Florida,12.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,22.0,3133488.0,0.7
Black or African American,2054-5,Florida,12.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,3172720.0,0.6
Black or African American,2054-5,Florida,12.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,3172720.0,
Black or African American,2054-5,Florida,12.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,25.0,3242646.0,0.8
Black or African American,2054-5,Florida,12.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,21.0,3242646.0,0.6
Black or African American,2054-5,Florida,12.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,31.0,3311596.0,0.9
Black or African American,2054-5,Florida,12.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,30.0,3311596.0,0.9
Black or African American,2054-5,Florida,12.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,27.0,3371252.0,0.8
Black or African American,2054-5,Florida,12.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,25.0,3371252.0,0.7
Black or African American,2054-5,Florida,12.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,25.0,3451906.0,0.7
Black or African American,2054-5,Florida,12.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,23.0,3451906.0,0.7
Black or African American,2054-5,Florida,12.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,3528984.0,0.7
Black or African American,2054-5,Florida,12.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,24.0,3528984.0,0.7
Black or African American,2054-5,Florida,12.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,17.0,3597739.0,
Black or African American,2054-5,Florida,12.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,3597739.0,
Black or African American,2054-5,Florida,12.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,3678445.0,0.6
Black or African American,2054-5,Florida,12.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,19.0,3678445.0,
Black or African American,2054-5,Florida,12.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,17.0,3736443.0,
Black or African American,2054-5,Florida,12.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,17.0,3736443.0,
Black or African American,2054-5,Florida,12.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,30.0,3774446.0,0.8
Black or African American,2054-5,Florida,12.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,30.0,3774446.0,0.8
Black or African American,2054-5,Florida,12.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,32.0,3840185.0,0.8
Black or African American,2054-5,Florida,12.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,32.0,3840185.0,0.8
Black or African American,2054-5,Georgia,13.0,1999,1999.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,2343624.0,
Black or African American,2054-5,Georgia,13.0,1999,1999.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,2343624.0,
Black or African American,2054-5,Georgia,13.0,2000,2000.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,2395234.0,
Black or African American,2054-5,Georgia,13.0,2001,2001.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,26.0,2468186.0,1.1
Black or African American,2054-5,Georgia,13.0,2001,2001.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,26.0,2468186.0,1.1
Black or African American,2054-5,Georgia,13.0,2002,2002.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,2522522.0,
Black or African American,2054-5,Georgia,13.0,2002,2002.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,2522522.0,
Black or African American,2054-5,Georgia,13.0,2003,2003.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,2571491.0,0.8
Black or African American,2054-5,Georgia,13.0,2003,2003.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,2571491.0,
Black or African American,2054-5,Georgia,13.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,2635336.0,
Black or African American,2054-5,Georgia,13.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,2635336.0,
Black or African American,2054-5,Georgia,13.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,2702396.0,0.9
Black or African American,2054-5,Georgia,13.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,22.0,2702396.0,0.8
Black or African American,2054-5,Georgia,13.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,18.0,2805927.0,
Black or African American,2054-5,Georgia,13.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,2805927.0,
Black or African American,2054-5,Georgia,13.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,2891925.0,
Black or African American,2054-5,Georgia,13.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,2962628.0,
Black or African American,2054-5,Georgia,13.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,2962628.0,
Black or African American,2054-5,Georgia,13.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,26.0,3023009.0,0.9
Black or African American,2054-5,Georgia,13.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,24.0,3023009.0,0.8
Black or African American,2054-5,Georgia,13.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,23.0,3057817.0,0.8
Black or African American,2054-5,Georgia,13.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,21.0,3057817.0,0.7
Black or African American,2054-5,Georgia,13.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,28.0,3113361.0,0.9
Black or African American,2054-5,Georgia,13.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,28.0,3113361.0,0.9
Black or African American,2054-5,Georgia,13.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,3163293.0,0.8
Black or African American,2054-5,Georgia,13.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,24.0,3163293.0,0.8
Black or African American,2054-5,Georgia,13.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,38.0,3206522.0,1.2
Black or African American,2054-5,Georgia,13.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,35.0,3206522.0,1.1
Black or African American,2054-5,Georgia,13.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,47.0,3260440.0,1.4
Black or African American,2054-5,Georgia,13.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,47.0,3260440.0,1.4
Black or African American,2054-5,Georgia,13.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,48.0,3320419.0,1.4
Black or African American,2054-5,Georgia,13.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,48.0,3320419.0,1.4
Black or African American,2054-5,Georgia,13.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,41.0,3384642.0,1.2
Black or African American,2054-5,Georgia,13.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,39.0,3384642.0,1.2
Black or African American,2054-5,Georgia,13.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,44.0,3447386.0,1.3
Black or African American,2054-5,Georgia,13.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,44.0,3447386.0,1.3
Black or African American,2054-5,Georgia,13.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,35.0,3499496.0,1.0
Black or African American,2054-5,Georgia,13.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,33.0,3499496.0,0.9
Black or African American,2054-5,Georgia,13.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,44.0,3549778.0,1.2
Black or African American,2054-5,Georgia,13.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,44.0,3549778.0,1.2
Black or African American,2054-5,Georgia,13.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,28.0,3606257.0,0.8
Black or African American,2054-5,Georgia,13.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,28.0,3606257.0,0.8
Black or African American,2054-5,Illinois,17.0,2001,2001.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1940249.0,
Black or African American,2054-5,Illinois,17.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1944473.0,
Black or African American,2054-5,Illinois,17.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1947836.0,
Black or African American,2054-5,Illinois,17.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1947836.0,
Black or African American,2054-5,Illinois,17.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1951157.0,
Black or African American,2054-5,Illinois,17.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1951157.0,
Black or African American,2054-5,Illinois,17.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1955231.0,
Black or African American,2054-5,Illinois,17.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1955231.0,
Black or African American,2054-5,Illinois,17.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,19.0,1960826.0,
Black or African American,2054-5,Illinois,17.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,1960826.0,
Black or African American,2054-5,Illinois,17.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1971805.0,
Black or African American,2054-5,Illinois,17.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1971805.0,
Black or African American,2054-5,Illinois,17.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1968408.0,
Black or African American,2054-5,Illinois,17.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1968408.0,
Black or African American,2054-5,Illinois,17.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1964390.0,
Black or African American,2054-5,Illinois,17.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1964390.0,
Black or African American,2054-5,Illinois,17.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,18.0,1962578.0,
Black or African American,2054-5,Illinois,17.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,1962578.0,
Black or African American,2054-5,Illinois,17.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1953836.0,
Black or African American,2054-5,Illinois,17.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1953836.0,
Black or African American,2054-5,Illinois,17.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1950271.0,
Black or African American,2054-5,Illinois,17.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1950271.0,
Black or African American,2054-5,Illinois,17.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1937515.0,
Black or African American,2054-5,Illinois,17.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1937515.0,
Black or African American,2054-5,Louisiana,22.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1509822.0,
Black or African American,2054-5,Louisiana,22.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1509822.0,
Black or African American,2054-5,Louisiana,22.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1521031.0,
Black or African American,2054-5,Louisiana,22.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1521031.0,
